City,Community,Pincode,Active Registrations,Lat,Lon,,March-2024,April-2024,May-2024,June-2024,July-2024,August-2024,September-2024,October-2024,November-2024,December-2024,January-2025,February-2025,March-2025,April-2025,May-2025,June-2025,July-2025,August-2025,March-2024,April-2024,May-2024,June-2024,July-2024,August-2024,September-2024,October-2024,November-2024,December-2024,January-2025,February-2025,March-2025,April-2025,May-2025,June-2025,July-2025,August-2025
Bangalore,C0012,560066,571,12.9643795,77.739898,,5249.2,5646.7,6057.1,5560.2,6567.7,7362.1,5615.6,7941.8,6048.9,5475.1,6616.1,5243.7,5736.5,6514.9,6508.8,5965.9,6555,5323.3,60,53,34,31,41,31,38,31,31,31,31,31,28,25,19,20,18,22
Bangalore,C0013,560094,394,13.0447786,77.5717251,,4583.3,4237.1,4453.1,4606.4,5512.3,5641.6,4686.2,5428.9,5344.6,5186.9,4887.3,4072.8,4292,4908.9,4742.8,4275.7,4903.7,4924.1,25,29,50,58,55,52,50,50,56,54,54,52,58,51,41,43,42,47
Bangalore,C0014,560077,1193,13.0629241,77.6605564,,4790.8,4777.8,4670.8,4459.4,5073.5,5809.4,4880.2,5351,4588.6,4833.3,4850.4,4198.3,5152,3941.3,4837.6,4744.9,4522.6,4368.1,56,56,57,63,7,50,60,64,59,63,65,61,62,64,59,57,59,60
Bangalore,C0015,560097,399,13.066254,77.57672,,241.3758929,252.6042614,2643.3,2363.5,3601.9,3351.4,2816.8,3761.8,2739.7,2429.2,3063.4,2567.8,2675.2,3196.3,2620.4,3020.6,3507.4,3225.9,0,0,39,28,22,28,17,33,22,33,17,28,33,39,22,20,22,27
Bangalore,C0016,560061,323,12.8870638,77.5433122,,1650.3,2086.1,1825.6,1767.3,2284.2,2004.3,2213.2,1966.3,1955.8,2279.9,1957.8,1713.8,2353.5,1815.8,1943.4,2689.5,2175.4,2088.6,43,37,39,28,22,28,17,33,22,33,17,28,33,39,22,24,22,28
Bangalore,C0017,560024,188,13.0354681,77.5923048,,964.4,1138.4,970,1163.6,1528.5,1288.7,1199.1,1843.4,1406.6,1488.9,1329.4,1165.3,1098.6,1376.4,1129.2,1265.4,1669.9,1224.7,56,56,57,63,7,50,60,64,59,63,65,61,62,64,59,61,60,61
Bangalore,C0018,560024,302,13.0497788,77.6086959,,919,676,971.4,910.4,888.5,1277.4,863.9,885.9,1059.3,763.6,1072.8,844.8,892.1,871.8,1071.7,858.7,766.6,1035.4,37,38,57,48,48,39,61,46,54,54,58,58,64,54,39,37,39,47
Bangalore,C0019,560066,139,12.981058,77.728761,,241.3758929,180,141.8,179.3,169.1,281.9,185.5,179.9,499.5,513.7,518.3,518.4,613.5,491.6,587,356.7,305.9,654.5,71,61,38,65,29,64,66,67,67,63,60,60,63,58,52,54,52,56
Bangalore,C0020,560062,123,12.8873185,77.5780751,,494.3,595.8,433,480.3,672.8,600.8,662.8,516.4,482.3,563.1,490.2,408,553.6,468,413.9,638.7,453.9,502.9,28,44,33,37,32,36,36,27,29,26,26,23,27,27,21,19,21,23
Bangalore,C0021,560099,78,12.829488,77.708382,,241.3758929,52.5,36.4,79.7,55.6,55,43.5,76.2,125.3,210.5,301.3,327.9,406.8,564.5,463.8,356.6,455.5,354.5,56,56,57,63,7,50,60,64,59,63,65,61,62,64,59,60,58,61
Bangalore,C0022,560091,86,12.974727,77.5107303,,322.4,321.9,417.4,304.6,399.7,415.1,303.6,385.6,290.7,273.9,350.1,224.7,289.6,338.6,285.2,266.9,360.8,336.9,37,38,57,48,48,39,61,46,54,54,58,58,64,54,39,37,39,47
Bangalore,C0023,560076,83,12.8795082,77.6121182,,348.6,461.6,314.9,348.6,527.7,420.4,415.2,362.1,312.4,355.7,352,459.3,455.6,346,286.8,419.3,339.8,315.8,37,38,57,48,48,39,61,46,54,54,58,58,64,54,39,37,39,47
Bangalore,C0024,560037,99,12.9664795,77.7133325,,214.3,208,303.1,245.5,223.9,349.5,249.2,271.4,284.1,291.6,259.1,216.3,361.5,325.6,317.8,243.8,222.8,267.2,43,37,39,28,22,28,17,33,22,33,17,28,33,39,22,20,22,27
Bangalore,C0025,560098,87,12.9155549,77.5029076,,300.9,374.3,289.5,255.6,358.6,328.4,359.4,268.2,273.9,299,234.5,210.8,276.6,202.7,201.6,293.5,225.1,251.3,37,38,57,48,48,39,61,46,54,54,58,58,64,54,39,37,39,47
Bangalore,C0026,560056,85,12.9689135,77.4952692,,251,242.1,314.8,266.1,328.8,238.5,224.5,360.7,243.9,243.9,344.6,241.5,261.3,356.4,313.1,271.3,282,208.2,28,44,33,37,32,36,36,27,29,26,26,23,27,27,21,22,20,23
Bangalore,C0027,560100,49,12.8492,77.650578,,244.4,139.4,161.7,272.4,269.7,193.8,146.1,208.5,115,104.1,57.7,76,94.2,113.9,95.5,121.5,169.6,202.4,44,43,19,19,19,19,19,19,19,19,13,19,13,19,13,15,13,15
Bangalore,C0028,560043,73,13.0411939,77.6398913,,198.2,182.3,224,174.6,260.9,255.8,146.3,164.2,213.6,184,217.4,159.5,167.3,141.4,274.6,162.5,167.8,200.7,71,61,38,65,29,64,66,67,67,63,60,60,63,58,52,50,52,55
Bangalore,C0029,560066,63,12.981297,77.729849,,241.3758929,16.2,25.2,47.2,40.1,60.7,53.2,43,143.3,154.6,106.4,159.9,163.4,107.4,165,124.7,131.2,183.2,0,56,57,63,7,50,60,64,59,63,65,61,62,64,59,57,59,60
Bangalore,C0030,560035,34,12.8997749,77.6725449,,208.1,240.4,177,208.2,281,227.4,239.7,190.5,242.8,229.3,161.7,207.2,255.5,186.6,222.4,258.8,171.2,165.9,28,44,33,37,32,36,36,27,29,26,26,23,27,27,21,23,21,24
